age,gender,customer_type,travel_type,flight_class,flight_distance,departure_delay,arrival_delay,seat_comfort,inflight_wifi,food_and_drink,cleanliness,baggage_handling,checkin_service,onboard_service,satisfaction
58,Male,First-time,Business,Economy,3691,40,192,2,5,4,5,3,3,2,0
56,Female,Returning,Personal,Economy,1856,169,28,1,4,5,5,3,5,4,1
18,Male,First-time,Business,Economy,4892,136,29,3,3,5,4,2,2,5,1
20,Male,Returning,Personal,Economy,2215,22,103,1,4,1,1,1,3,2,0
30,Female,First-time,Personal,Business,3407,77,109,5,4,2,2,2,5,3,1
45,Male,Returning,Business,Business,602,10,31,1,1,5,3,3,3,1,0
66,Male,Returning,Business,Economy,4833,70,137,2,2,2,2,4,5,4,1
42,Female,First-time,Personal,Economy,3073,158,50,4,1,2,3,4,4,5,1
50,Female,First-time,Business,Economy,4581,25,135,3,2,4,3,2,4,5,1
55,Female,First-time,Personal,Business,3545,29,178,2,4,2,1,3,2,4,0
23,Female,Returning,Business,Business,1300,161,35,4,2,5,3,5,3,2,0
61,Male,Returning,Business,Economy,4134,173,54,5,3,5,3,3,4,4,1
62,Male,First-time,Business,Economy,4306,101,162,5,3,3,1,2,1,5,0
49,Female,Returning,Business,Business,2018,68,35,5,4,2,5,3,4,3,1
62,Female,Returning,Business,Economy,4130,132,55,1,5,3,2,4,4,2,0
64,Male,Returning,Personal,Economy,3481,165,35,5,3,4,3,5,3,4,1
38,Female,Returning,Business,Business,3182,155,88,5,4,3,1,2,5,5,1
33,Male,Returning,Business,Economy,1298,153,188,1,1,2,3,2,1,5,0
38,Female,Returning,Business,Economy,584,60,61,4,5,5,1,1,1,5,1
28,Male,First-time,Personal,Economy,720,105,108,2,3,4,2,5,5,3,0
54,Female,First-time,Personal,Economy,2460,22,86,3,4,2,4,2,3,2,1
53,Female,First-time,Personal,Economy,3365,173,152,5,4,4,5,3,4,4,1
52,Male,First-time,Personal,Economy,2575,112,63,5,1,1,4,3,5,2,1
36,Female,Returning,Personal,Economy,1794,29,187,5,1,2,1,3,1,5,0
37,Male,Returning,Business,Economy,4184,66,56,1,5,1,3,3,1,3,0
35,Male,Returning,Business,Business,4923,160,112,1,3,3,5,2,4,3,0
64,Male,First-time,Business,Economy,2843,130,69,1,4,2,2,4,4,5,0
58,Male,First-time,Personal,Economy,4426,120,179,3,5,1,5,5,2,2,0
66,Male,Returning,Personal,Economy,4557,82,183,2,5,5,3,3,5,2,0
31,Female,Returning,Business,Economy,2141,169,190,5,1,3,4,2,4,3,0
32,Female,First-time,Personal,Economy,1021,61,195,4,4,2,1,2,2,1,0
48,Male,Returning,Personal,Economy,1701,56,19,5,2,2,4,3,3,3,1
18,Female,Returning,Personal,Business,745,0,53,5,1,5,5,1,1,3,1
20,Male,Returning,Business,Economy,3091,101,0,5,4,5,3,2,5,4,1
33,Female,Returning,Business,Business,4822,68,89,5,5,1,1,5,3,3,1
40,Female,First-time,Personal,Business,4067,58,137,2,5,1,3,5,5,1,0
28,Female,First-time,Personal,Economy,2851,45,150,4,3,1,3,1,5,3,1
29,Female,Returning,Personal,Economy,2267,105,178,1,2,4,5,2,4,2,0
27,Male,Returning,Personal,Business,4188,33,112,4,1,3,4,1,2,4,1
49,Male,Returning,Business,Business,3031,100,151,5,3,2,3,2,5,4,1
33,Female,Returning,Personal,Economy,2929,96,12,4,3,3,3,2,3,3,1
25,Female,First-time,Business,Economy,2264,152,156,5,2,5,3,1,5,4,1
55,Male,Returning,Business,Economy,1357,169,185,4,1,3,1,4,2,4,0
29,Female,First-time,Business,Business,1057,28,109,3,1,3,3,3,1,3,0
41,Male,Returning,Personal,Economy,2095,152,90,4,5,1,3,3,5,1,0
45,Male,Returning,Business,Economy,1943,122,94,1,1,5,5,3,3,3,0
25,Male,Returning,Business,Business,323,72,42,1,3,3,3,1,1,2,0
45,Female,Returning,Personal,Economy,1539,142,137,4,5,2,3,2,1,5,0
53,Male,Returning,Personal,Economy,4450,3,158,4,1,1,5,2,4,1,1
43,Female,Returning,Personal,Economy,3397,37,73,2,2,3,1,5,4,3,0
25,Male,Returning,Business,Business,1604,19,13,4,3,5,4,2,5,1,1
67,Female,First-time,Personal,Economy,2842,112,98,1,4,2,5,4,3,5,1
45,Female,First-time,Business,Economy,4012,22,108,3,2,5,1,3,4,4,1
45,Female,First-time,Business,Economy,4255,164,161,1,2,5,4,4,2,4,0
54,Male,First-time,Personal,Economy,4829,110,144,2,1,5,3,3,2,5,0
58,Male,Returning,Business,Economy,4603,135,148,4,5,4,5,1,1,4,0
53,Female,Returning,Business,Economy,4528,164,95,3,5,2,3,4,1,1,0
44,Female,Returning,Business,Economy,1605,44,194,1,3,5,5,2,1,4,0
34,Female,First-time,Business,Business,4764,96,57,3,1,4,4,3,2,5,1
26,Male,Returning,Personal,Business,3474,32,135,5,5,1,1,5,4,5,1
50,Male,Returning,Business,Economy,3928,134,95,1,4,4,5,4,4,5,1
37,Male,Returning,Personal,Economy,1081,21,37,5,1,1,1,1,5,2,1
30,Male,Returning,Business,Economy,866,132,153,3,1,4,3,5,3,1,0
45,Female,Returning,Business,Business,4922,14,63,4,5,5,3,1,2,5,1
65,Female,First-time,Personal,Economy,4432,20,157,4,2,4,4,3,1,1,0
46,Male,First-time,Business,Economy,4573,125,8,4,1,4,4,4,3,2,1
30,Male,Returning,Business,Economy,938,88,120,5,2,5,2,1,1,1,0
63,Female,Returning,Business,Economy,4000,16,31,4,3,1,2,5,3,3,1
52,Male,Returning,Business,Economy,4467,55,10,2,3,5,4,5,3,2,1
23,Male,First-time,Business,Economy,2699,49,161,1,5,2,3,2,4,2,0
35,Male,Returning,Business,Economy,2970,134,104,1,3,4,1,1,5,4,0
68,Male,Returning,Personal,Economy,1472,117,145,3,5,2,4,4,5,5,1
22,Male,Returning,Personal,Economy,2020,121,146,5,5,5,1,4,1,2,0
64,Male,First-time,Personal,Economy,404,49,181,1,2,5,2,2,2,1,0
42,Female,First-time,Business,Economy,1982,59,81,5,2,3,1,5,5,3,1
19,Male,Returning,Business,Economy,4616,124,36,3,3,2,4,1,2,1,0
27,Male,Returning,Business,Economy,2149,115,81,4,2,3,3,5,1,1,0
47,Female,First-time,Personal,Economy,1162,134,11,3,1,2,4,1,2,3,1
67,Female,First-time,Business,Economy,3745,167,3,2,4,3,5,1,3,4,1
62,Female,Returning,Personal,Economy,2865,172,42,4,1,3,5,1,3,5,1
22,Male,Returning,Business,Economy,598,87,154,4,1,2,5,5,1,2,0
50,Female,Returning,Business,Economy,3208,104,50,4,5,5,3,5,2,5,1
18,Male,Returning,Business,Business,4437,54,4,3,4,1,4,5,2,4,1
35,Male,Returning,Personal,Economy,1070,63,133,2,5,5,5,3,1,3,0
49,Male,First-time,Business,Economy,2839,95,86,5,2,1,4,5,5,5,1
64,Female,Returning,Personal,Economy,1762,167,105,3,2,2,2,2,4,1,0
66,Female,Returning,Business,Economy,4154,43,55,1,4,4,5,3,5,2,1
28,Female,Returning,Business,Economy,3418,129,109,1,3,5,5,1,4,2,0
38,Female,Returning,Personal,Economy,2432,148,67,3,2,3,3,4,2,4,0
43,Female,First-time,Business,Economy,2009,49,95,5,1,5,4,3,4,4,1
42,Male,First-time,Business,Economy,1290,110,43,1,4,2,3,3,4,3,0
39,Male,Returning,Business,Economy,1010,179,142,5,4,4,3,1,2,4,0
44,Male,First-time,Business,Business,4604,136,89,4,2,4,4,5,3,5,1
66,Male,First-time,Personal,Business,338,98,41,3,2,5,2,5,4,2,1
30,Female,Returning,Personal,Economy,1575,147,138,4,5,5,4,3,1,3,0
50,Female,Returning,Business,Economy,1736,145,72,1,5,5,2,5,5,4,0
51,Male,Returning,Business,Economy,3293,83,10,5,1,2,3,3,2,1,1
58,Female,Returning,Personal,Economy,1769,29,193,4,4,1,2,4,2,2,0
52,Female,Returning,Business,Economy,2399,64,154,1,3,1,2,4,4,3,0
18,Male,Returning,Personal,Economy,673,23,57,2,3,3,2,1,3,2,0
38,Male,Returning,Business,Economy,4551,174,199,4,4,2,5,2,3,5,1
65,Female,Returning,Personal,Economy,4325,89,127,2,1,4,5,2,5,4,1
23,Female,Returning,Personal,Economy,1413,105,20,2,5,3,3,5,5,4,1
45,Male,Returning,Personal,Economy,3026,171,20,1,5,4,4,2,3,4,0
34,Male,Returning,Personal,Business,2698,156,71,3,5,4,2,4,3,1,0
22,Male,Returning,Business,Economy,3534,76,128,5,3,5,5,1,3,5,1
48,Female,Returning,Business,Economy,1565,67,101,1,3,4,4,4,4,1,0
22,Male,First-time,Personal,Economy,3423,108,185,4,1,4,2,3,1,5,0
55,Male,Returning,Personal,Economy,953,144,12,5,3,2,4,5,5,5,1
20,Female,First-time,Personal,Economy,4458,96,72,3,2,5,1,5,2,5,0
40,Female,Returning,Personal,Economy,808,132,5,1,3,5,2,2,3,4,0
54,Female,Returning,Business,Economy,2639,91,111,3,5,3,4,3,3,4,1
54,Female,Returning,Personal,Economy,3462,87,185,4,1,5,2,2,1,4,0
27,Female,Returning,Personal,Economy,1987,49,16,1,4,1,2,2,3,1,0
27,Male,Returning,Personal,Economy,1688,102,72,4,4,2,1,2,5,3,1
36,Male,Returning,Personal,Economy,2497,111,11,5,1,3,4,3,3,5,1
34,Female,Returning,Personal,Economy,4211,167,85,5,2,1,3,2,1,1,0
38,Female,Returning,Personal,Economy,3228,45,179,3,4,4,5,5,4,4,1
31,Female,First-time,Personal,Economy,815,178,121,3,5,1,2,2,5,4,0
26,Female,First-time,Business,Business,3958,10,69,5,4,3,2,3,4,3,1
63,Female,First-time,Personal,Economy,2133,11,107,2,4,5,2,3,2,4,0
18,Male,Returning,Personal,Economy,329,140,51,5,5,2,2,4,1,5,1
68,Male,Returning,Personal,Economy,3514,63,36,1,3,3,5,2,2,2,1
62,Male,Returning,Business,Business,625,7,116,4,2,1,3,3,2,4,1
30,Male,First-time,Business,Business,4066,8,2,5,5,1,1,2,2,3,1
21,Female,First-time,Business,Economy,4411,129,7,5,5,3,3,1,2,2,1
18,Male,Returning,Personal,Economy,410,77,137,4,1,3,5,5,1,5,1
66,Female,First-time,Personal,Economy,406,140,46,4,2,3,4,5,4,5,1
57,Female,Returning,Personal,Economy,2726,1,168,1,3,5,1,2,3,5,0
49,Female,Returning,Business,Economy,4678,175,63,4,5,3,1,5,2,3,0
51,Male,Returning,Personal,Economy,4664,73,41,3,3,4,4,5,3,2,1
45,Female,First-time,Business,Economy,2831,130,42,5,5,2,2,1,3,5,1
48,Male,First-time,Business,Economy,3444,133,124,4,5,2,5,5,2,4,1
25,Male,First-time,Business,Business,4993,86,136,1,1,4,4,5,5,2,0
56,Female,Returning,Business,Economy,1098,4,13,4,4,1,3,3,3,5,1
43,Female,Returning,Business,Economy,2737,130,90,5,2,1,3,5,5,2,1
51,Female,First-time,Personal,Economy,2311,137,131,2,1,1,4,2,4,4,0
20,Male,Returning,Personal,Business,725,170,1,4,3,1,5,5,3,1,1
67,Female,Returning,Business,Business,3344,146,114,3,5,5,1,2,1,5,0
29,Male,First-time,Personal,Economy,3588,13,0,5,5,4,1,5,4,4,1
18,Female,Returning,Personal,Economy,3214,148,74,1,2,2,2,2,4,3,0
61,Female,Returning,Business,Business,1539,123,64,5,1,4,5,5,5,5,1
22,Male,First-time,Business,Economy,3691,42,173,2,1,2,3,2,2,1,0
47,Male,Returning,Personal,Economy,4513,27,186,1,3,1,3,5,1,4,0
47,Male,Returning,Personal,Business,4297,148,124,2,1,5,2,1,1,4,0
34,Male,Returning,Personal,Economy,3306,163,134,2,1,3,3,3,5,2,0
65,Male,Returning,Personal,Economy,3339,23,65,3,4,3,2,3,5,5,1
64,Male,Returning,Business,Business,898,165,142,4,2,1,2,3,4,1,0
40,Female,Returning,Personal,Economy,2387,16,71,3,1,1,4,3,5,3,1
32,Female,Returning,Business,Economy,1484,149,115,3,3,4,1,1,2,2,0
54,Male,Returning,Business,Economy,3050,82,120,3,5,5,5,1,4,5,1
38,Female,Returning,Personal,Economy,2884,44,46,1,1,5,5,5,4,1,1
31,Male,First-time,Personal,Economy,3813,73,89,4,1,4,1,1,4,2,0
19,Female,Returning,Personal,Economy,4354,138,39,4,5,5,5,3,1,1,0
28,Female,Returning,Business,Economy,4683,60,41,1,4,5,3,4,1,1,0
68,Male,Returning,Business,Economy,4236,37,178,3,2,3,3,5,4,2,0
56,Male,Returning,Business,Economy,1999,65,34,3,4,5,5,2,2,2,1
55,Male,First-time,Business,Economy,4807,32,40,2,3,1,4,3,3,5,1
51,Female,Returning,Personal,Business,2875,42,84,2,1,3,5,3,4,2,1
55,Male,First-time,Business,Economy,435,158,123,5,4,1,2,3,5,5,1
67,Female,Returning,Business,Economy,2325,111,56,2,2,1,2,1,3,1,0
51,Male,Returning,Personal,Economy,3835,34,37,4,3,4,1,2,1,2,0
35,Female,Returning,Business,Economy,3190,36,199,1,4,5,3,5,1,5,0
47,Female,Returning,Business,Economy,3057,174,95,3,1,5,4,3,3,5,1
32,Male,Returning,Personal,Economy,4073,99,135,5,2,5,5,2,5,3,1
44,Female,Returning,Business,Economy,680,22,62,2,1,5,2,4,1,5,1
68,Female,Returning,Business,Economy,1828,163,86,5,1,3,3,1,1,5,1
51,Male,Returning,Business,Economy,4871,167,131,1,3,2,3,3,4,3,0
69,Female,Returning,Business,Economy,3928,88,175,1,2,1,4,2,2,4,0
55,Male,First-time,Personal,Economy,1148,14,51,5,5,2,4,2,5,2,1
50,Male,First-time,Business,Economy,4427,164,37,5,1,2,4,3,4,3,1
41,Male,Returning,Personal,Economy,2227,131,86,5,2,2,4,2,2,5,1
32,Male,Returning,Business,Economy,2465,149,4,3,1,3,2,2,1,5,0
47,Female,Returning,Personal,Economy,4586,21,119,4,4,2,4,5,2,2,1
59,Female,First-time,Personal,Economy,2421,77,69,2,4,3,3,1,1,1,0
68,Female,Returning,Personal,Economy,3218,144,112,2,2,4,3,5,4,3,0
34,Male,Returning,Business,Economy,4981,71,23,2,3,4,5,1,1,4,1
22,Female,First-time,Business,Business,772,97,85,5,5,4,3,1,2,2,1
46,Female,Returning,Business,Business,2087,89,144,5,4,3,3,5,4,2,1
21,Male,Returning,Personal,Economy,413,108,25,5,3,3,2,3,2,3,1
27,Male,Returning,Business,Economy,1636,93,2,3,5,1,3,2,2,5,1
34,Female,Returning,Business,Economy,638,79,1,3,4,2,1,4,3,5,1
27,Male,Returning,Business,Economy,2585,93,91,3,5,5,3,5,1,4,0
34,Male,First-time,Business,Economy,1496,79,1,3,1,5,5,5,1,3,1
37,Male,Returning,Personal,Economy,378,37,149,1,2,2,5,3,2,2,0
41,Male,Returning,Personal,Economy,4859,151,70,3,4,5,4,2,1,3,0
22,Female,Returning,Business,Business,2952,133,3,3,4,5,2,5,5,1,1
51,Male,Returning,Business,Economy,4957,133,37,3,1,5,5,4,1,2,0
23,Male,Returning,Business,Business,4680,25,102,2,4,3,1,2,4,4,1
19,Male,Returning,Personal,Business,4618,100,69,2,4,3,1,5,1,4,0
30,Male,First-time,Business,Economy,2940,168,51,2,4,3,4,5,5,2,1
60,Male,Returning,Personal,Economy,1556,74,30,4,4,2,2,1,2,5,1
60,Male,Returning,Personal,Economy,1127,37,153,1,4,4,2,1,1,2,0
65,Male,Returning,Business,Economy,3018,82,35,5,3,5,3,5,4,2,1
28,Male,Returning,Business,Economy,3110,170,153,3,4,1,1,3,5,1,0
68,Female,First-time,Business,Economy,3685,142,155,2,1,3,1,1,3,2,0
64,Male,Returning,Personal,Economy,2265,55,132,1,4,1,1,5,2,3,0
40,Female,Returning,Personal,Business,2727,104,114,3,5,5,1,2,2,3,0
33,Male,Returning,Business,Economy,3141,30,73,4,5,4,5,4,2,4,1
48,Male,Returning,Personal,Business,913,178,17,5,1,1,2,1,5,5,1
28,Male,Returning,Business,Economy,862,151,14,3,3,5,3,5,1,4,0
33,Male,First-time,Business,Business,4652,57,184,5,1,5,5,1,1,1,0
25,Female,Returning,Personal,Economy,484,72,96,3,3,3,2,2,1,2,0
21,Male,First-time,Personal,Economy,2492,131,4,4,2,4,4,3,1,4,1
57,Male,Returning,Personal,Business,4365,9,36,1,5,5,1,5,2,2,0
21,Female,First-time,Personal,Economy,545,72,103,5,5,4,3,2,3,4,1
42,Female,First-time,Business,Economy,4386,14,85,5,5,3,2,4,2,2,1
20,Male,Returning,Business,Economy,2534,97,149,1,3,1,4,5,3,4,0
49,Female,Returning,Business,Economy,1165,62,179,5,1,2,1,4,3,3,0
20,Female,Returning,Personal,Economy,2387,18,14,2,3,2,4,3,1,1,0
44,Female,Returning,Business,Economy,900,112,16,1,5,2,4,5,4,4,1
46,Male,Returning,Personal,Economy,3333,62,50,4,5,4,5,5,5,3,1
49,Male,Returning,Personal,Economy,2356,115,44,3,5,2,4,2,4,5,1
67,Male,Returning,Personal,Business,2431,20,190,3,5,1,5,1,3,4,1
68,Female,First-time,Business,Economy,832,161,121,1,2,5,5,5,4,2,0
36,Male,Returning,Personal,Economy,2342,144,155,2,5,4,4,3,3,1,0
38,Female,Returning,Personal,Economy,657,145,186,4,3,1,2,5,2,3,0
22,Male,Returning,Personal,Economy,677,80,148,3,5,4,4,5,2,3,0
35,Male,First-time,Personal,Economy,2519,65,169,3,4,4,4,5,1,1,0
45,Female,First-time,Personal,Economy,4788,178,196,2,2,4,2,5,5,4,0
59,Male,First-time,Personal,Economy,3607,64,81,5,5,3,1,3,2,2,0
39,Female,Returning,Personal,Economy,2896,42,144,1,4,5,3,2,5,5,1
38,Female,Returning,Personal,Economy,1083,56,195,2,3,2,1,1,1,4,0
23,Male,First-time,Personal,Business,2679,137,134,2,2,3,4,3,5,1,0
18,Female,Returning,Personal,Economy,3903,36,88,2,5,5,1,3,2,4,0
22,Male,Returning,Personal,Economy,1282,175,100,2,3,2,3,4,2,4,0
58,Male,Returning,Personal,Business,4242,119,39,5,4,3,1,1,4,1,0
29,Female,Returning,Business,Economy,2890,68,167,4,2,3,3,2,4,1,0
43,Male,First-time,Business,Business,1342,55,42,2,5,1,1,2,4,5,1
63,Female,Returning,Personal,Economy,2838,118,72,2,3,3,5,4,5,1,1
51,Male,Returning,Personal,Business,1161,163,178,1,2,4,4,4,2,1,0
66,Male,Returning,Personal,Economy,2176,158,22,3,4,3,3,3,1,1,0
31,Male,Returning,Business,Economy,2135,54,94,5,5,4,4,2,3,3,1
43,Male,First-time,Business,Economy,4508,37,159,2,2,5,5,2,2,1,0
62,Male,Returning,Business,Economy,3826,14,158,4,4,5,1,2,4,1,0
44,Female,First-time,Personal,Business,1985,143,16,4,4,4,4,3,4,1,1
26,Female,Returning,Personal,Economy,3701,76,111,4,3,1,1,2,5,5,1
43,Female,Returning,Personal,Economy,1922,52,102,1,4,1,1,5,4,4,0
64,Female,First-time,Personal,Economy,2957,6,57,4,4,5,4,4,5,1,1
39,Female,Returning,Business,Economy,2232,54,85,1,1,3,3,4,1,1,0
64,Female,First-time,Personal,Economy,807,51,34,5,4,5,3,4,4,5,1
47,Male,Returning,Business,Economy,4861,3,29,4,5,5,4,4,5,4,1
60,Male,Returning,Business,Economy,3778,42,191,3,2,4,3,5,4,5,1
65,Female,Returning,Personal,Economy,2956,39,180,2,5,1,2,1,5,2,0
34,Female,Returning,Business,Business,1421,120,178,5,5,4,1,2,2,2,0
43,Male,Returning,Business,Economy,589,29,103,3,3,5,4,4,5,2,1
53,Male,Returning,Business,Economy,3129,137,164,5,1,2,5,2,3,1,0
18,Male,Returning,Business,Business,2509,102,121,4,1,3,4,2,1,5,1
25,Female,Returning,Personal,Economy,1700,6,133,5,5,5,4,5,2,1,1
66,Female,First-time,Personal,Economy,866,163,33,5,2,4,1,2,1,2,0
52,Female,Returning,Business,Economy,1773,162,55,5,1,2,5,4,2,4,1
69,Male,First-time,Personal,Economy,2287,166,24,1,1,2,1,2,4,4,0
32,Male,Returning,Business,Economy,4087,163,114,3,5,5,3,5,5,5,1
64,Female,First-time,Personal,Economy,4165,108,12,4,1,1,4,4,4,4,1
39,Female,First-time,Personal,Economy,3560,19,62,2,3,2,1,5,1,2,0
31,Male,Returning,Personal,Economy,3847,48,101,4,5,3,2,3,1,5,1
43,Male,Returning,Personal,Economy,3551,95,193,4,1,4,4,1,2,5,1
45,Male,Returning,Personal,Business,2016,58,121,1,1,4,3,2,1,2,0
40,Male,First-time,Business,Economy,1312,176,119,1,1,4,1,2,5,2,0
31,Female,Returning,Personal,Economy,1610,89,132,5,5,5,1,2,1,2,0
41,Male,Returning,Business,Economy,4870,25,10,4,2,4,2,3,4,2,1
19,Male,Returning,Business,Business,917,35,108,3,4,4,3,1,5,5,1
62,Male,First-time,Personal,Economy,4557,170,103,1,1,3,2,5,1,4,0
43,Female,Returning,Business,Economy,2282,125,110,1,4,1,4,3,3,2,0
31,Female,First-time,Personal,Business,2528,42,171,3,4,5,5,3,3,3,1
68,Male,Returning,Business,Economy,768,98,68,1,1,5,1,4,4,5,0
24,Male,Returning,Business,Business,4416,32,101,3,1,4,2,3,2,1,0
20,Male,Returning,Personal,Economy,4655,99,1,2,4,3,1,3,2,4,0
64,Female,Returning,Personal,Economy,1439,96,167,3,2,2,1,2,1,5,0
40,Female,Returning,Personal,Business,1736,172,36,2,4,4,2,4,5,2,0
63,Female,Returning,Personal,Economy,836,44,117,5,2,4,1,5,2,3,0
60,Male,Returning,Business,Economy,1251,87,48,5,3,5,3,1,3,1,1
64,Female,Returning,Personal,Economy,3113,142,74,1,2,5,3,5,2,4,0
62,Male,Returning,Business,Business,3306,94,163,3,5,4,5,4,3,2,0
35,Male,Returning,Business,Economy,4294,16,74,1,1,5,3,2,2,5,1
55,Male,Returning,Business,Economy,2140,139,197,3,3,3,2,1,4,5,0
52,Female,Returning,Business,Economy,1150,21,33,1,4,2,3,5,5,4,1
68,Male,Returning,Business,Economy,2271,150,57,5,2,2,5,1,1,3,1
32,Female,Returning,Business,Economy,1491,89,110,5,3,2,4,1,3,2,1
42,Female,First-time,Personal,Economy,4220,77,164,1,5,4,4,1,2,4,0
54,Male,Returning,Business,Economy,4928,139,95,3,2,4,2,3,1,4,0
45,Male,Returning,Business,Economy,2362,113,59,4,4,4,5,4,3,5,1
27,Female,First-time,Business,Economy,3346,67,139,3,4,3,3,4,3,4,1
56,Male,First-time,Personal,Economy,4699,109,31,1,2,2,5,2,4,1,1
34,Female,Returning,Personal,Business,3858,178,131,3,5,5,1,5,2,1,0
56,Male,Returning,Business,Business,4811,124,105,2,1,5,5,2,1,2,0
39,Female,Returning,Personal,Economy,604,140,32,3,1,1,3,5,2,4,1
43,Female,First-time,Business,Economy,3147,56,42,5,4,1,2,1,2,5,1
61,Female,Returning,Personal,Economy,2735,54,111,5,5,5,1,5,5,2,1
42,Female,First-time,Business,Economy,3104,81,106,2,4,2,5,5,3,3,1
34,Male,Returning,Personal,Economy,2284,106,8,3,1,4,4,1,3,5,1
30,Male,First-time,Personal,Economy,4236,155,178,4,4,5,3,2,5,3,0
37,Female,First-time,Personal,Economy,1012,101,113,3,2,5,2,5,5,2,0
42,Female,First-time,Business,Business,3195,171,124,5,2,1,3,2,2,1,0
21,Male,Returning,Business,Economy,1981,146,19,5,5,2,5,2,3,5,1
27,Male,First-time,Business,Economy,1633,173,166,1,1,5,2,4,1,5,0
20,Male,Returning,Personal,Economy,3498,110,150,5,5,4,4,1,4,2,1
58,Male,Returning,Personal,Business,474,106,40,1,5,4,1,1,5,5,1
62,Male,Returning,Business,Economy,3505,101,43,5,1,3,5,3,1,5,1
35,Male,Returning,Personal,Economy,1716,2,124,5,3,4,2,2,1,2,0
64,Female,Returning,Business,Economy,2287,147,34,4,3,5,1,3,2,4,0
53,Male,First-time,Business,Economy,2072,24,150,1,4,5,2,1,5,2,0
64,Male,Returning,Business,Economy,4566,74,57,1,3,4,5,1,1,5,1
39,Female,First-time,Business,Economy,1374,60,47,5,2,1,2,3,4,2,1
51,Male,First-time,Personal,Economy,891,122,57,1,5,2,4,1,1,5,0
64,Male,Returning,Personal,Economy,3278,54,100,5,4,5,2,1,4,3,1
25,Male,Returning,Personal,Economy,4282,162,56,5,5,4,5,4,4,3,1
57,Male,Returning,Business,Business,2710,38,166,3,1,4,2,5,4,1,0
66,Male,Returning,Personal,Economy,1147,82,155,1,3,5,1,4,5,2,0
61,Female,Returning,Business,Economy,793,33,63,2,1,3,1,5,4,2,0
36,Male,First-time,Business,Economy,845,112,61,1,4,2,3,4,5,3,1
59,Female,First-time,Business,Economy,2586,168,82,1,2,5,3,4,1,3,0
58,Female,First-time,Business,Economy,2997,149,112,4,3,4,4,2,4,3,1
54,Male,First-time,Business,Economy,4137,26,111,2,1,3,1,3,3,1,0
23,Female,Returning,Business,Business,1840,148,61,2,3,5,3,4,1,1,0
69,Male,Returning,Personal,Business,1183,168,93,4,5,2,2,2,3,4,0
43,Female,First-time,Personal,Economy,4256,30,84,4,2,3,4,4,3,2,1
51,Female,Returning,Personal,Economy,3394,154,25,1,3,4,5,3,2,1,0
62,Male,Returning,Personal,Economy,2665,164,178,3,2,1,3,2,5,5,1
23,Male,First-time,Business,Economy,3647,136,120,4,5,2,3,5,2,2,0
54,Male,First-time,Business,Economy,3371,82,49,2,5,3,1,3,5,4,1
50,Male,First-time,Personal,Economy,3975,169,114,2,1,5,4,1,2,3,0
39,Male,First-time,Personal,Business,1252,163,35,1,4,5,1,2,1,4,0
38,Female,First-time,Personal,Economy,3600,9,153,3,1,3,1,1,3,2,0
23,Female,Returning,Personal,Business,4035,39,32,5,2,5,4,2,1,3,1
23,Female,First-time,Personal,Business,3479,53,122,4,1,3,2,5,5,4,1
65,Female,Returning,Personal,Business,3263,166,99,4,3,2,3,2,3,4,1
21,Female,Returning,Personal,Economy,4327,134,67,1,1,5,1,4,3,2,0
47,Female,Returning,Personal,Economy,3547,3,72,3,4,2,3,1,5,1,1
28,Female,Returning,Business,Economy,4715,142,135,2,4,4,4,1,1,5,0
47,Male,First-time,Business,Economy,3657,175,193,2,2,4,2,2,3,4,0
48,Male,Returning,Business,Economy,3004,5,22,5,5,4,5,4,1,5,1
41,Female,Returning,Business,Business,1337,72,69,2,4,4,2,4,1,2,0
26,Female,First-time,Personal,Economy,370,162,54,4,2,5,4,2,1,2,0
20,Male,First-time,Business,Business,3174,57,170,5,4,3,2,3,3,1,0
68,Male,Returning,Personal,Business,405,76,109,3,4,5,5,5,4,3,1
48,Male,Returning,Business,Economy,1069,18,148,5,5,5,1,2,2,5,1
57,Male,Returning,Personal,Economy,2309,61,149,3,3,2,2,4,5,4,1
54,Female,Returning,Personal,Economy,3240,70,8,2,2,3,4,5,1,3,1
53,Male,Returning,Business,Economy,2492,137,161,1,4,1,2,2,3,5,0
41,Female,First-time,Business,Business,3795,24,186,5,4,1,5,5,5,5,1
48,Female,Returning,Personal,Economy,4611,171,153,5,1,3,4,3,4,3,1
23,Female,First-time,Personal,Economy,4655,126,128,4,3,1,2,4,4,3,0
19,Male,First-time,Personal,Economy,1233,57,107,4,5,3,4,3,3,1,1
37,Male,Returning,Business,Economy,874,152,132,3,2,2,5,3,1,4,0
45,Female,Returning,Business,Economy,4230,119,168,1,4,2,1,4,4,4,0
28,Female,Returning,Personal,Business,4680,110,190,4,2,5,5,3,4,4,1
21,Female,Returning,Business,Economy,4387,167,149,4,5,1,1,2,4,3,0
32,Male,Returning,Personal,Economy,2831,75,67,2,3,3,3,2,3,1,0
23,Female,First-time,Business,Economy,2719,69,175,2,1,2,5,5,5,2,1
66,Male,First-time,Business,Economy,369,137,65,4,3,5,1,2,2,1,0
47,Female,First-time,Business,Economy,4774,65,143,3,1,1,3,2,3,3,0
55,Female,Returning,Business,Business,1602,119,52,1,2,1,3,5,1,1,0
68,Female,Returning,Business,Economy,4114,152,127,4,3,1,3,1,3,3,0
19,Male,Returning,Personal,Economy,2649,86,64,3,3,2,4,4,3,5,1
